text,label,source
"11. Az Alza semmilyen esetben sem ad engedélyt az Alza adatbázisainak lemásolására vagy módosítására, forráskódjának visszafejtésére, a forráskódba való jogosulatlan beavatkozás tilos. Tilos bármilyen automatikus eszközzel (pl. botokkal) adatot gyűjteni a Webáruházból, és tilos bármilyen kísérlet a rendszer biztonságának megkerülésére. Tilos a Webáruház rendszerének bármilyen szándékos megzavarása, túlterhelése vagy jogosulatlan manipulálása.",4-Érthető,alza_aszf.json
"12. A Weboldalon tilos a trágár, gyűlöletkeltő, fenyegető vagy más módon sértő hozzászólás közzététele. Az értékeléseknek és a hozzászólásoknak tárgyilagosaknak és a termékhez kapcsolódóknak kell lenniük. A Weboldalon személyeskedő megjegyzéseknek nincs helye. Tilos más személyek adatainak, képeinek, nevének jogosulatlan használata. A spam jellegű hozzászólások, promóciók, linkek közzététele szigorúan tilos.",4-Érthető,alza_aszf.json
"13. A Fogyasztó tudomásul veszi, hogy az Alzától történő termékvásárlás során a Fogyasztó nem jogosult az Alza szerződéses partnerei, illetve az Alza által bejegyzett védjegyek, kereskedelmi nevek, céglogók stb. – a szokásos magánfelhasználás mértékét túllépő, így különösen üzleti célú – használatára. Ettől a rendelkezéstől csak egyedi megállapodás alapján lehet eltérni.",3-Többé/kevésbé megértem,alza_aszf.json
"14. Az Alza minden felelősséget kizár a Webáruház felhasználói által tanúsított magatartásokért. A Fogyasztó tudomásul veszi, hogy az Alza kifejezetten kizárja a felelősségét a harmadik személyek által közzétett tartalmakért, abban az esetben is, ha a harmadik személyek tartalmaihoz, oldalaira a Fogyasztó a Webáruházában elhelyezett linken keresztül jut el. A Fogyasztó a Webáruházat kizárólag a saját kockázatára használhatja , és az Alza nem felelős az olyan kárért, ami a Webáruház használat során a Fogyasztó érdekkörében, vagy a mulasztásából eredően következett be. Az Alza nem felelős a Fogyasztó készülékében, szoftvereiben bekövetkező bármely meghibásodásért, illetve adatvesztésért , valamint bármilyen adat vagy üzenet, SMS, Fogyasztó érdekkörében történő elvesztéséért, kézbesíthetetlenségéért, ideértve azt is, ha az a Fogyasztó levelező programjában a Spam/Levélszemét mappába érkezik, vagy a Fogyasztó által használt spam szűrő kiszűri. A Fogyasztó tudomásul veszi, hogy a Webáruház használatához internetkapcsolat szükséges. Az Alza nem felelős az internethálózat, illetve bármely más kommunikációs hálózat hibáiért, elérhetetlenségéért, összhangban a 9. pontban írtakkal.",2-Nehezen érthető,alza_aszf.json
"15. A Fogyasztó tudomásul veszi, hogy a Webáruházban egyes termékeknél megjelenített képek az Alzával szerződött gyártó/forgalmazó (mint harmadik felek) által rendelkezésre bocsátott illusztrációk, ezért azok a valós termékektől nem lényeges tulajdonságaikban eltérhetnek (pl. előfordulhat , hogy a termék ugyanazzal a tartalommal/paraméterekkel rendelkezik, de némileg eltérő színű, mint ami a képen szerepel). Az Alza a nem lényeges eltérés esetén felelősséggel nem tartozik. A Fogyasztó tudomásul veszi, hogy a Webáruházban megtekinthető képek elsősorban tájékoztató jellegűek.",4-Érthető,alza_aszf.json
"16. A Webáruház bárki által látogatható, és lehetőség van saját felhasználói fiók létrehozására is, regisztráció útján. A Fogyasztók a Webáruházában regisztrációval, illetve regisztráció nélkül, vendégként is bonyolíthatnak vásárlást.",5-Könnyen érthető,alza_aszf.json
"17. A Webáruházba regisztrált felhasználók a vásárlási folyamat során a megrendelés befejezése előtt bármikor bejelentkezhetnek felhasználói fiókjukba (a továbbiakban: „Alza Fiók”) az e-mail címük és jelszavuk megadásával, illetve az Alza által SMS-ben küldött ellenőrző kód beírásával is. A regisztrált felhasználók a megrendelésük állapotát felhasználói fiókjukban folyamatosan nyomon követhetik, korábbi megrendeléseik részleteit áttekinthetik, és az ezekre vonatkozó számviteli bizonylatokat, számlákat letölthetik.",4-Érthető,alza_aszf.json
"18. A Fogyasztóknak felhasználói fiók létrehozásához az alábbi adatokat szükséges megadniuk: név, e-mail cím, jelszó, számlázási cím, szállítási cím, telefonszám. A felhasználói fiók létrehozásához ezt követően a regisztrációt a Fogyasztónak meg kell erősítenie a megadott telefonszámra SMS üzenetben kapott kód megadásával a felületen megjelenő ablakban.",5-Könnyen érthető,alza_aszf.json
"19. A Fogyasztó a regisztráció során, illetve a mennyiben regisztráció nélkül vásárol, a megrendelés során megadott adatok pontosságért és valódiságáért felelősséggel tartozik, az adatok helytelen vagy pontatlan megadás a miatti késedelemért és az ebből eredő többletköltségekért (pl. szállítás) az Alza felelősséget nem vállal. A Fogyasztó felelősséggel tartozik jelszava titokban tartásáért, az Alza kizárja a felelősségét bármilyen azzal kapcsolatos kárért, hogy a Fogyasztó jelszavát harmadik személy az Alzán kívül álló okból megismerte. A Fogyasztó kizárólag saját nevében és saját adataival jogosult a Webáruház használatára. Valótlan, hamis vagy más személy adataival történő regisztráció tilos.",4-Érthető,alza_aszf.json
"20. A Fogyasztónak (és bármely felhasználónak) bármikor lehetősége van az Alza Fiók törlésére (feltéve, hogy az Alza Fiókon belül nincs nyitott tartozás, ide nem értve az utánvétet), melyre az alábbi módokon van lehetőség:",5-Könnyen érthető,alza_aszf.json
a. a Fogyasztó a regisztrált e-mail címéről küldött üzenetben vagy a regisztrált telefonszámon keresztül az Ügyfélszolgálattól kérheti a felhasználói fiókja törlését;,5-Könnyen érthető,alza_aszf.json
b. a Fogyasztó az Alza Fiókján belül a „Fiók törlése” lehetőség kiválasztásával törölheti a felhasználói fiókját.,5-Könnyen érthető,alza_aszf.json
"21. A felhasználói fiók törlésével a Fogyasztó elveszíti a hozzáférést a Fiókban tárolt számlához, jóváíráshoz, egyéb dokumentumokhoz, valamint az elektronikus könyvtárához, beleértve az e-könyveket, hangoskönyveket és egyéb digitális tartalmakat.",5-Könnyen érthető,alza_aszf.json
22. Személyes adatainak kezeléséről (és törlési kérelemről) egyebekben az Alza Adatvédelmi Szabályzatában olvashat.,5-Könnyen érthető,alza_aszf.json
23. A Webáruházban történő vásárlás menetéről szóló egyszerűbb útmutató (Hogyan vásárolj az Alza.hu-n?) itt olvasható.,5-Könnyen érthető,alza_aszf.json
"24. A Fogyasztók az Alza által értékesített termékeket (ideértve a digitális tartalmakat is) és szolgáltatásokat az Alza által üzemeltetett Webáruházban tekinthetik meg. A Webáruházban a Fogyasztók az értékesített termékek és szolgáltatások között keresni is tudnak (pl. a termék gyártójának vagy a termék nevének megadásával). Adott termék vagy szolgáltatás adatlapjára kattintva a Fogyasztók tájékoztatást kapnak a termék vagy szolgáltatás legfontosabb jellemzőiről és lényeges tulajdonságairól, többek között a termék ÁFÁ-val növelt eladási áráról, egységáráról, a termék raktáron történő elérhetőségéről, az adott termék kapcsán elérhető kiszállítási módokról, várható szállítási időkről, a jogszabályon alapuló jótállási időkről, és a termék fontosabb műszaki paramétereiről.",4-Érthető,alza_aszf.json
"25. A Fogyasztó a termékoldalon a „Kosárba” gombra kattintva helyezheti a terméket a virtuális kosarába. A termék „Kosárba” helyezése még nem jelenti a termék Fogyasztó általi lefoglalását, az ajánlat elküldését, így fizetési kötelezettséget sem keletkeztet a Fogyasztó oldaláról.",5-Könnyen érthető,alza_aszf.json
"26. A „Kosár” elnevezésű felületen a Webáruház jobb felső szélén látható „Virtuális kosár” ikonra kattintva a Fogyasztó folyamatosan ellenőrizheti a kosara tartalmát, illetve szándéka szerint módosíthatja azt. E felületen megjelenik a kiválasztott termék vagy szolgáltatás ÁFA összegével növelt vételára (a továbbiakban: „bruttó vételár”) is. E felületen van lehetőség a kedvezménykód vagy ajándékutalvány kódjának a megadására is. A „Kosár” felületen van lehetősége a Fogyasztónak arra is, hogy a kosárba helyezett termékekhez kiegészítő szolgáltatásokat vásároljon az Alzától. Ezen szolgáltatások áráról a Fogyasztó a „Kosár” felületén szintén tájékozódhat. A kiegészítő szolgáltatásokról és azok lényeges tulajdonságairól bővebb információt a Fogyasztó az adott szolgáltatásra kattintva, illetve a szolgáltatások bemutatását tartalmazó dedikált aloldalon (ide kattintva) talál.",4-Érthető,alza_aszf.json
"27. A „Szállítás & Fizetés” elnevezésű felületen, (ahová a Kosár oldalon a „Folytatás” gombra kattintva juthat a Fogyasztó) a Fogyasztó kiválaszthatja az Alza által felkínált szállítási módok közül a számára leginkább megfelelőt. Ezen a felületen a Fogyasztó tájékoztatást kap a kiválasztani tervezett szállítási módhoz tartozó várható szállítási határidőről és a szállítás díjáról is.",5-Könnyen érthető,alza_aszf.json
"28. A Webáruházban a szállítás várható időpontjáról nyújtott információk tájékoztató jellegűek, a közzétett információk az Alza becslésén alapulnak. Ezért előfordulhat, hogy a vásárlási folyamat során közölt szállítási idők az Alza által tanúsított legnagyobb gondosság ellenére is, előre nem látható külső körülmények (pl. vis maior helyzet, időjárás, forgalmi korlátozások stb.) miatt módosulnak. A várható szállítási határidő módosulásáról az Alza a Fogyasztót észszerű időben tájékoztatja.",4-Érthető,alza_aszf.json
"29. Az Alza által kínált szállítási módokról a Fogyasztó a Szállítási Információk aloldalon is tájékozódhat, mely tájékoztató oldal valamennyi szállítási módra vonatkozó lényeges információt tartalmazza, ideértve a szállítási költségeket és a szállítási feltételeket.",5-Könnyen érthető,alza_aszf.json
"30. Az Alza nem garantálja a Fogyasztó számára valamennyi szállítási mód igénybevételének a lehetőségét. Egyes szállítási módokat attól függően ajánlja fel az Alza a Fogyasztónak, hogy az adott szállítási mód elérhető-e a megadott címen, illetve milyen szállítási kapacitások állnak az Alza rendelkezésére az adott pillanatban. A szállítás várható ideje és költsége a kiválasztott szállítási mód függvényében változik.",4-Érthető,alza_aszf.json
31. Az Alza jelenleg az alábbi szállítási módokat kínál hatja a Fogyasztóknak:,5-Könnyen érthető,alza_aszf.json
"a. személyes átvétel: AlzaBox csomagautomatákon keresztül, üzleteinkben, Alza Drive-on keresztül, valamint együttműködő partnereink által üzemeltetett csomagátvevő helyeken, pl. a Packeta , Z-Box Csomagautomatákon és Csomagpontokon, FoxPost Csomagautomatákon és a PostaPontokon keresztül, Coop üzletekben, MOL benzinkutakon stb.",5-Könnyen érthető,alza_aszf.json
"b. házhozszállítás: melyet Budapesten az Alza Express, az ország többi részében pedig az Alza által megbízott logisztikai partnerek – így a DPD, az Express One, és a MPL – biztosítanak,",5-Könnyen érthető,alza_aszf.json
"c. házhozszállítás nagyméretű csomagok esetén: ezen szolgáltatást az Alza Express és az Alza által megbízott logisztikai partner, a Gebrüder Weiss biztosítja.",5-Könnyen érthető,alza_aszf.json
"32. A szállítási mód kiválasztását követően a Fogyasztó válaszhat az Alza által felkínált fizetési módok közül, illetve tájékoztatás kap az egyes fizetési módokhoz tartozó költségekről is. A fizetési módok lényeges feltételeiről részletes tájékoztatás az alábbi dedikált aloldalon található: Fizetési Feltételek",4-Érthető,alza_aszf.json
33. Az Alza Fogyasztói részére jelenleg az alábbi fizetési módokat kínálja.,5-Könnyen érthető,alza_aszf.json
"a. online bankkártyás fizetési lehetőség (Visa, Visa Electron, MasterCard, Maestro és Diners Club),",5-Könnyen érthető,alza_aszf.json
"b. banki átutalás,",5-Könnyen érthető,alza_aszf.json
"c. Google Pay vagy Apple Pay segítségével történő fizetés,",5-Könnyen érthető,alza_aszf.json
"d. utánvét (készpénzben vagy egyes esetekben bankkártyával),",5-Könnyen érthető,alza_aszf.json
"e. online áruhitel igénybevétele,",5-Könnyen érthető,alza_aszf.json
"f. Alza utalvánnyal történő fizetés,",5-Könnyen érthető,alza_aszf.json
g. az Alza bemutatótermeiben (boltjaiban) készpénzzel vagy bankkártyával.,5-Könnyen érthető,alza_aszf.json
34. Az Alza az online áruhitelt a Magyar Cofidis Expressz Zrt. hitelközvetítőjeként kínálja a Fogyasztóknak. A közvetített pénzügyi szolgáltatás (a továbbiakban: „áruhitel”) részleteiről az alábbi aloldalon nyújtunk tájékoztatást: https://www.alza.hu/reszletfizetesi-lehetoseg .,5-Könnyen érthető,alza_aszf.json
"35. Az Alza felhívja a Fogyasztó figyelmét arra, hogy az Alza Adatvédelmi Szabályzatával összhangban az online bankkártyás fizetés esetén a Fogyasztó által megadott kártyaadatokat a jövőbeli kifizetések érdekében a releváns bank megjegyzi (ezt az opciót a Fogyasztó a saját Alza fiókjában a ""Személyes Adatok"" menüpontban törölheti, illetve az Adatvédelmi Szabályzat egyéb rendelkezései szerint kérheti személyes adatai törlését).",4-Érthető,alza_aszf.json
"36. A „Cím megadása” elnevezésű felületre a szállítási és fizetési módok kiválasztását követően a „Folytatás” gombra kattintva jut a Fogyasztó, ahol személyes adatait, így e-mail címét, és számlázáshoz szükséges adatait adja meg, illetve amennyiben a Fogyasztó regisztrált felhasználó, itt is be tud lépni az Alza Fiókjába, mely utóbbi esetben a számlázáshoz szükséges adatok automatikusan megjelennek a vásárlási felületen. Ezen felület jobb szélén a Fogyasztó a „Kosárba” helyezett termék vagy szolgáltatás bruttó szállítási költséggel növelt áráról kap tájékoztatást.",4-Érthető,alza_aszf.json
"37. A Fogyasztó a „Megrendelés Befejezése” gombra kattintással, illetve a jelölőnégyzet bepipálásával megerősíti, hogy i) megismerte és elfogadta jelen Fogyasztói ÁSZF rendelkezéseit, ii) tudomásul veszi az Alza által adott adatvédelmi tájékoztatást, és iii) azt, hogy a megrendelés leadásával fizetési kötelezettsége keletkezik, valamint iv) hozzájárul, hogy a megvásárolt digitális tartalmakat az Alza azonnal hozzáférhetővé tegye számára, amit követően a digitális tartalom megvásárlásától már nem lesz jogosult elállni. A Fogyasztó tudomásul veszi, hogy a megrendelésének leadását követően – az Alza teljesítése esetén – a fizetési kötelezettség alapján az Alza jogosulttá válik a termék vételárát a Fogyasztótól követelni.",4-Érthető,alza_aszf.json
"38. A megrendelés leadását követően a Fogyasztó a megrendelését törölheti (visszavonhatja), amíg az Alza a megrendelést nem teljesíti (jelen Fogyasztói ÁSZF V. Webáruház nem rendeltetésszerű használata fejezetében írt rendelkezések figyelembevétele mellett), illetve a megrendelés módosítására is van lehetőség, az alábbiak szerint:",5-Könnyen érthető,alza_aszf.json
"• számlázási és szállítási információk (pl. cím): A rendelés leadását követően, amíg az Alza még nem állított ki a megrendelésről számlát, a Fogyasztó módosíthatja a számlázási es szállítási információkat (pl. címet) az Alza Fiókban vagy a megrendelési felületen. Ezt követően, amennyiben az adatok az Alza Fiókban már nem módosíthatóak a módosítás kéréséhez a Fogyasztónak szükséges felvennie a kapcsolatot az Ügyfélszolgálattal.",4-Érthető,alza_aszf.json
"• fizetési mód: a rendelés leadását követően úgy módosítható, ha a Fogyasztó felveszi az Ügyfélszolgálattal a kapcsolatot. Alza Box esetén lehetőség van (az Ügyfélszolgálattal való egyeztetés nélkül is) online fizetés helyett az átvételkori fizetést választani.",5-Könnyen érthető,alza_aszf.json
"• szállítási mód: a rendelés leadását követően úgy módosítható, ha a Fogyasztó felveszi az Ügyfélszolgálattal a kapcsolatot.",5-Könnyen érthető,alza_aszf.json
"39. Az Alza Webáruházban regisztráció nélkül, vendégként is lehetséges a vásárlás, azonban az Alza azt javasolja, hogy a Webáruházban történő megrendelés leadásakor a Fogyasztó jelentkezzen be a regisztrált felhasználói fiókjába. A nyilvános hozzáféréssel történő bejelentkezéskor az Alza azt javasolja a Fogyasztóknak, hogy a megrendelés leadása után jelentkezzenek ki az Alza fiókjukból. Emellett az Alza azt javasolja a Fogyasztóknak, hogy ha már nem használják a Webáruházát, akkor is jelentkezzenek ki Alza fiókjukból.",4-Érthető,alza_aszf.json
"40. A „Megrendelés Befejezése” gombra kattintással, azaz a megrendelés véglegesítésével és leadásával a Fogyasztó a „Kosárban” elhelyezett termékek vagy szolgáltatások megvásárlását célzó kötelező érvényű ajánlatot tesz az Alza részére. A Fogyasztó ajánlatának Alzához történő megérkezése ajánlati kötöttséget eredményez a Fogyasztóra nézve. Az ajánlat Fogyasztó általi elküldése nem jelenti ugyanakkor az ajánlat Alza általi automatikus elfogadását, azaz a Felek közötti szerződés létrejöttét. Az Alza az ajánlat elfogadásáról, azaz a szerződés létrejöttéről, később külön e-mailben értesíti a Fogyasztót.",3-Többé/kevésbé megértem,alza_aszf.json
"41. Az Alza a megrendelésének (ajánlatának) megérkezését a Fogyasztó felé e-mail útján egy automatikusan generált rendszerüzenet formájában haladéktalanul visszaigazolja („Köszönjük a megrendelését” megszólítású e-mail). Amennyiben ezen visszaigazolás a Fogyasztó megrendelésének elküldésétől számított, legkésőbb 48 órán belül nem érkezik meg hozzá, a Fogyasztó mentesül az ajánlati kötöttség alól. A Fogyasztó köteles ezen e-mailben foglalt adatok tartalmát leellenőrizni. Amennyiben a Fogyasztó a megrendelés adataiban bármilyen hibát észlel, köteles azt haladéktalanul jelezni az Ügyfélszolgálat felé. Az e-mailben szereplő gombok segítségével Fogyasztó a megrendelését módosíthatja vagy szükség esetén törölheti is, azaz az ajánlatát visszavonhatja.",4-Érthető,alza_aszf.json
"42. Az e-mail útján tett vagy közölt nyilatkozatok a másik fél számára akkor tekinthetők megérkezettnek, amikor azok a címzett részére hozzáférhetővé válnak. Az Alza kizárja a felelősséget az olyan esetekre vonatkozóan, amikor a Fogyasztó levelező rendszerének technikai vagy beállítási hibája, telítettsége miatt az Alza által küldött e-mailek a Fogyasztó számára nem válnak hozzáférhetővé, vagy a Fogyasztó a megrendelés során hibás e-mail címet adott meg az Alza részére, vagy a Fogyasztó az Alza egyébként kézbesített e-mail üzenetét nem nyitja meg, nem olvassa el.",4-Érthető,alza_aszf.json
"43. A Webáruházon keresztül történő vásárlás esetén az Alza és a Fogyasztó között a távollevők között kötött szerződés a Fogyasztó által küldött ajánlat (mely a rendelés leadásával valósul meg) Alza általi elfogadásával jön létre. A szerződés létrejöttéről (tehát az ajánlat Alza általi elfogadásáról) az Alza a Fogyasztónak külön e-mailt küld, melyben az Alza visszaigazolja a megrendelés teljesíthetőségét, egyúttal tájékoztatást nyújt a szállítási információkról. Ezen, a szerződés létrejöttét visszaigazoló e-mail tartalmazza a szerződés lényeges tartalmi elemeit is. Az Alza ebben az e-mailben küldi meg a Fogyasztók részére az ÁSZF-et és a számlát is.",3-Többé/kevésbé megértem,alza_aszf.json
"44. Amennyiben az Alza a Fogyasztó ajánlatát nem tudja elfogadni, azaz a megrendelést nem tudja teljesíteni, a Fogyasztót a megrendelés elutasításáról tájékoztatja, és intézkedik a Fogyasztó által előre kifizetett vételár és szállítási költség visszatérítéséről. Az Alza kizárja felelősségét azért, ha ezen felül a Fogyasztónak bármilyen kára keletkezne a Fogyasztó ajánlatának (azaz a megrendelésnek) az elutasítása következtében.",5-Könnyen érthető,alza_aszf.json
"45. A szerződés létrejöttére vonatkozó e-mailből a Fogyasztó az Alza fiókjába történő belépésen keresztül letöltheti a vásárlásra vonatkozó számláját is, mely a kötelező jótállással érintett termékek tekintetében egyúttal jótállási jegynek is minősül. A vendégként vásárlók részére a számlát az Alza küldi el a szerződés létrejöttét visszaigazoló, második e-mailjében .",4-Érthető,alza_aszf.json
"46. Felek között létrejött szerződés nem minősül írásbeli szerződésnek, azt az Alza nem iktatja, így az utóbb nem is hozzáférhető. A megrendelés részleteit, illetve a megrendeléshez tartozó számlákat az Alza ugyanakkor saját elektronikus archívumában elmenti. A Fogyasztók korábbi megrendelésük részleteit az Alza fiókjukban, illetve az Alza által küldött visszaigazoló e-mailekben tekinthetik meg.",3-Többé/kevésbé megértem,alza_aszf.json
"47. A megrendelés részletei nem hozzáférhetőek olyan harmadik felek számára, akik az ügyletben nem voltak érintettek, ez alól kivételt képez a hatályos jogszabályok alapján a bíróságok, hatóságok vagy egyéb harmadik felek részére történő kötelező adatszolgáltatás.",5-Könnyen érthető,alza_aszf.json
48. A jelen Fogyasztói ÁSZF hatálya alatt létrejött minden szerződés nyelve a magyar.,5-Könnyen érthető,alza_aszf.json
"49. A Fogyasztóknak a „Megrendelés befejezése” gombra kattintást megelőzően bármikor lehetősége van az adatbeviteli hibák javítására. A nem javított adatbeviteli hibákból adódó tévedésekért, hibákért az Alza felelősséget nem vállal.",5-Könnyen érthető,alza_aszf.json
50. Az Alza nem vette magát alá a tevékenységére vonatkozó magatartási kódexnek.,2-Nehezen érthető,alza_aszf.json
"51. Az Alza új termékeken kívül forgalmaz ún. felbontott, újszerű, illetve használt termékeket is, melyeket az új termékekhez képest alacsonyabb vételáron értékesít. A felbontott, újszerű, illetve használt termékekre az Alza az új termékekkel azonos 30 napos elállási jogot biztosít. Ezen termékekre vonatkozó szavatossági igények érvényesítésével kapcsolatos rendelkezéseket a 113. pont tartalmazza. A felbontott, újszerű, illetve használt termékekről bővebb információ itt található.",3-Többé/kevésbé megértem,alza_aszf.json
"52. A Felbontott termékek olyan termékek, melyek eredeti csomagolását korábban már felbontották vagy a terméket már kipróbálták (például elállás miatt visszaküldték az Alzának). A felbontott termékeket az Alza eredeti csomagolásba visszacsomagolja, és az összes tartozékával együtt értékesíti. A felbontott termék jótállási- és szavatossági ideje megegyezik az új termékekre vonatkozó határidőkkel.",4-Érthető,alza_aszf.json
"53. Az újszerű termékek olyan rendeltetésszerű használatra alkalmas termékek, melyeken korábbi rendeltetésszerű használat nyomai láthatóak (kisebb kopás vagy elhasználódás). Az Alza törekszik arra, hogy az újszerű termékekhez valamennyi eredeti csomagolásban található alkatrészt biztosítsa, illetve azokat az eredeti csomagolásban értékesítse. Amennyiben erre nincs mód, az Alza olyan kartoncsomagolást biztosít az újszerű termékhez, mely megfelelően megóvja a termék minőségét. Az újszerű termékekre az Alza 21 hónap szavatossági (vagy adott esetben jótállási) időt biztosít.",4-Érthető,alza_aszf.json
"54. Használt termékek olyan rendeltetésszerű használatra alkalmas termékek, melyeket már korábban szervizeltek, vagy rajtuk korábbi, akár hosszabb használat nyomai is látszódnak. A használt termékekre a jogszabályi rendelkezések alapján 12 hónapos szavatossági (vagy adott esetben jótállási) időt biztosít az Alza. Az Alza a használt terméket mindig rendeltetésszerű használatra alkalmas állapotban értékesíti, de hozzá csak az alapvető működéshez szükséges tartozékokat tudja biztosítani.",4-Érthető,alza_aszf.json
"55. Az Alzától a Webáruházon kívül e-mailen, telefonon és bemutatótermeiben (boltjaiban) is lehetséges a vásárlás. Amennyiben jelen Fogyasztói ÁSZF eltérően nem rendelkezik az előbb említett csatornákon bonyolított vásárlásokra is jelen Fogyasztói ÁSZF rendelkezései irányadóak, ideértve a Webáruházzal kapcsolatos rendelkezéseket is.",4-Érthető,alza_aszf.json
56. A Fogyasztók a Webáruházon kívül megrendelésüket az alábbi módon adhatják le:,5-Könnyen érthető,alza_aszf.json
"a. E-mail útján, a segito@alza.hu email címen keresztül;",5-Könnyen érthető,alza_aszf.json
b. Telefonon keresztül az Alza Ügyfélszolgálat telefonszámán (+36 1 701 11 11) a hét minden napján 08:00 órától 20:00 óráig (UTC+01:00),5-Könnyen érthető,alza_aszf.json
"c. Az Alza bemutatótermeiben személyesen (Budapest XIII. kerület Róbert Károly krt. 54 -58; 1085 Budapest József krt. 14, 1117 Budapest Fehérvári út 23., vagy 2310 Szigetszentmiklós Bevásárló utca 1,). Boltjainkról itt adunk bővebb tájékoztatást .",5-Könnyen érthető,alza_aszf.json
